,评论内容
15043,查过 全新 正品 外观 瑕疵   物流 很快 价格 实惠   
15044,用户 未填写 评价 内容 
15045,不错 不错 不错 不错 
15046,快递 很快 服务 
15047,终于 换 换 内存 
15048,四天 手机 运行 流畅 学生 党 买 挺 担心 买 不好 东西 买 手机 续航 差 之外 发现 毛病 玩游戏 64 够 昨天 玩 两把 吃 鸡用 电 还行 充电 慢 关系 上课 放在 宿舍 两个 小时 影响 一段时间 追评 激活 第一次 失败 两次 搞懂 吐槽 信号 不好 反正 信号 山沟 信号 不好 回来 评论 
15049,用户 未填写 评价 内容 
15050,手机 流畅 正品 物流 很快 
15051,手机 上午 买 下午 很快 手机 降价 买 性能 不错 起码 体验 感 流畅 京东 官网 买 正品 黑色 超酷 适合 男生 8plus 做工 精致 玻璃 材质 无论是 摸 舒服 多字 可不可以 优秀 评论 
15052,质量 实体店 便宜 
15053,helliphellip 银色 买 金色 手机 验证 京东 自营 店 手机 确实 正品 服务 物流 挺快 手机 手机 电量 感觉 打游戏 性能 流畅 helliphellip 图 
15054,新年 父母 礼物 父母 好好 孝敬 京东 速度 品质 放心 开心 价格 合适 
15055,
15056,物流 手机 运行 感觉 用个 23 年 个事 
15057,物流 超快 开箱 验货 正品 
15058,记不得 京东 买 苹果 手机 这台 8p 京东 买 第二台 去年 买 max 买过 系列 手机 特意 买 白色 买 4s 黑色 包括 max 黑色 8p 黑色 想 白色 好看 细腻 个人感觉 xr 处理器 xr 比不上 8p A11 仿生 芯片 带动 软件 市场 压力 剩余 helliphellip 想 体验 iPhone 超 8p 经济 跟得上 想 体验 高端 刘海 系列 买 max 更好 
15059,不错 买 手机 送 一点 实用 东西 耳机 转接线 
15060,心心念念 手机 终于 到手 瑕疵 正品 喜欢 
15061,老爹 买 手机 不错 外观 手感 nice 京东 
15062,说 第二天 查 序列号 正品 手机 挺 评价 
15063,第一天 下单 第二天 物流 很快 手机 看着 不错 
15064,好用     苹果 系统   懂 
15065,第一次 苹果 手机 昨天 收到 注册 完用 行用 试试 
15066,正品 机 段时间 官方 查 正品 操作 流畅 拍照 色彩 正 玩游戏 吃 鸡 王者 农药 完美 唯一 不太 满意 原装 充电器 充电 比较慢 玩游戏 稍微 费电 待机 3% 电 物流 拍 第二天 送到 
15067,手机 不错 未激活 速度 外观 漂亮 值得 购买 
15068,喜欢 京东 买 东西 买 明天 送到 商品 评价 京东 买 东西 太多太多 导致 积累 未 评价 订单 统一 用段 话 评价 内容 京东 购物 这么久 买 产品 买 坑 产品 我用 这段话 评价 款 产品 至少 85 分 垃圾 产品 偷懒 复制粘贴 评价 用心 差评 消费者 购买 参考 影响 商品 销量 商家 改进 商品质量 
15069,  确是 正品 挺好用 喜欢 
15070,8p 屏幕 看着 舒服 手感 更好 视觉 舒服 
15071,喜欢 感谢 京东 
15072,物流 很快 拍 隔天 服务 手机 拿到 爱不释手 手感 好玩 游戏 流畅 拍照 很漂亮 清晰 性价比 高 心动 亲亲 赶紧 错过 这村 这店 京东 值得 信任 哈哈哈 
15073,机器 拆封 退回来 包装 异物 纤维组织 耳机 污垢 售后 几天 好望 贵司 改进 
15074,用户 未填写 评价 内容 
15075,买 质量 几天 失望 自营 没错 
15076,不错 京东 东西 
15077,刚买 充不上 电坏 
15078,喜欢   手机 
15079,物流 真的 很快 质量 保证 京东 
15080,苹果 好用 贵 一点 值得 挺 下次 苹果 京东 值得 信赖 
15081,用户 未填写 评价 内容 
15082,第一次 买 苹果 感觉 挺快 玩游戏 特别 爽 一点 不卡顿 
15083,喜欢 不错 样子 
15084,
15085,物流 很快 售后 热情 舒服 
15086,一个月 不到 样子 评价   手机 正版 可查   快递 包装 真 垃圾     贵 手机 破 纸盒子 装   没防 压防 摔 包装     不错 裸机     赠品   手机 标配 充电器   耳机     
15087,手机 很漂亮 大气 同事 买 京东 买手机 买 十几个 一如既往 支持 下次 下次 买个 双卡 双待 苹果机 
15088,图片吧 公平 公正 评价 全新 未激活 一段时间 
15089,好用 哈哈哈哈 
15090,看着 款 手机 挺久               本来 想着 SN 买         好像 京东 谱                 京东 下单           发货 真的 很快           京东 快递 赞           晚上 下单     第二天 下午 手机 送到             开箱 手机         iPhone8p 颜值 真的 特别 高         背面 玻璃 设计     真的 舒服             手机 系统     流畅 度         屏幕显示 效果       赞           几天 评价           手机 电池 佳     充满     玩 好久         很赞 
15091,毛病 坐等 号 s10 
15092,
15093,物流 很快 大爱 
15094,苹果 活动 力度 购买 价格 接受 系统 流畅 外观 简洁 没货多 几天 辜负 期望 买 电器 依然 信赖 京东 棒棒 哒 
15095,女朋友 买 喜欢 说 粉嫩 粉嫩 透 仙气 苹果 系统 没得说 用户 手机 层面 不谈 爱 爱国 国家 买 合法 喷来 喷去 闭关锁国 清 试过 结局 不行 正式 差距 做 强大 
15096,正品 京东 服务 一如既往 到货 送给 老婆 老婆 喜欢 
15097,手机 挺 相比 很快 感觉 舒服 手机 屏幕 很大 东西 舒服 清晰 真的 特别 舒服 感觉 
15098,健是 松动 属 质量 开机 发现 
15099,京东 买 第一台 手机 本来 挺 忐忑 百把 块钱 东西 到货 惊喜 外面 抗震 发泡 塑料袋 包 包装 完好 开机 三码 核对 无误 苹果 良心发现 配 无线耳机 哈哈哈 包装 不错 
15100,京东 商品 值得 购买 
15101,苹果 正品 官 网上 验货 64 够用 推荐 购买 
15102,系统 做 特别 流畅 用安卓机 希望 多用 几年 
15103,很棒 晚上 下单 中午 
15104,第一回 ios       感觉 不错 喜欢 内存 果断 下手 256G 跑 分 27 万多 希望 能用 两年 那句话 ios 不想 碰安卓妹 
15105,第一次 手机 手里 感觉 肾 
15106,iPhone 挺好用 反正 质量 做工 一般般 反正 OK 不太好 流畅 声音 开 关键 那条 分析 真的 超级 一两天 发现 想 退 退 激活 买 苹果 手机 看着 点 做工 有没有 精细 
15107,苹果 苹果 7p 8p 全在 京东 买 买 8P 买 x 喜欢 那种 刘海 屏 
15108,体验 很差 
15109,挺 漂亮 机子 快递 还行 
15110,用户 未填写 评价 内容 
15111,评价 买 问 同事 说 京东 电子产品 买 下单 手机 手机 图片 副 手机 买回来 同事 说 样子 很漂亮 喜欢 
15112,照片 体现 奇颜值 之美 也许 正 玻璃 屏 缘故 特色 一款 iphone 满意 
15113,8p 手机 不错 喜欢       家里 几个 果机   快递   购物 体验 不错 
15114,亲人 买 质量 流畅 度 体验 
15115,太赞 颜值 太高 喜欢 苹果 
15116,查 序列号 正品 触屏 不灵 王者 荣耀 闪退 售后 重做 系统 系统 流畅 
15117,手机 物流 挺快 星期   没什么 8p 偷   买 一个第一次 京东 买 苹果 手机 感觉 
15118,第一次 苹果 手机 盘 半天 没盘 生活 点 仪式 感咯 helliphellip 
15119,物流 很快 女朋友 买 说 挺 
15120,性价比 高 挺不错 手机 值得 购买 
15121,用户 未填写 评价 内容 
15122,不错 电池 耐用 屏幕 清晰 
15123,超出 预期 玩游戏 特赞 好像 没什么 可说 晒图 京东 速度 
15124,包装 完好 送货 快递 小哥 服务态度 
15125,感谢 京东 给予 消费者 优惠 价格 购买 这款 iPhone8plus 这款 产品 苹果公司 2017 年 推出 一款 旗舰 产品 引领 国内 手机 市场 风向标 款 产品 系统 特别 流畅 一如既往 操作 特别 舒服 画面感 极强 处于 观望 状态 价格 太高 京东 做 活动 给予 消费者 价格 特别 优惠 可观 感谢 京东 谢谢 
15126,感谢 京东 给予 消费者 优惠 价格 购买 这款 苹果 884 这款 手机 一名 国产手机 刀锋 风向标 款 手机 苹果公司 2017 年 推出 一款 旗舰 产品 款 产品 系统 流畅 手机 运行 特别 一如既往 搭载 iOS11 特别 感谢 京东 消费者 实惠 价格 购买 这款 质量 正品 
15127,帮 我姐 买 外观 一如既往 好看 降价 价格 优惠 点击 圆点 慢 原因 朋友 8p 挺 
15128,第一次 京东 买手机 实体店 看过 最终 京东 买 总体 很棒 拆机 官 网上 查 壳 手机 IMEI 正品 物流 说 
15129,完美 诠释 手机 满意 买 第二台 苹果 感觉 支持 京东 商城 
15130,
15131,苹果 工艺 精湛 手感 一流 令人 叹为观止 苹果 系统 流畅 名不虚传 拍照 更是 令人 惊奇 正 一分 价钱 一份 货 消费者 倚重 质量 质量 过关 称霸 手机 市场 
15132,第一次 购买 苹果 8plus 两个 月 评价 感觉 真的 不错 下次 还会 买 
15133,收到 京东 不错 买手机 不用 店里 真的 
15134,正品 转换 线 
15135,"久   下单   感觉 手感 不错 
 几天   "
15136,性价比 战斗机 嗷嗷 棒 
15137,手机 挺 流畅 玩游戏 苹果 系统 跟安卓 系统 同步 充电 戴 耳机 
15138,真棒 便宜 金色 喜欢 哒 
15139,手机 正品 
15140,本来 美国 留学 期间 买 手机 实在 不行 只能 换 8P 两个 月 操作 流畅 音质 优美 京东 自营 值得 推荐 
15141,闺蜜 一人 一部     感觉 不错 
15142,京东 物流 下午 一点半 下单 第二天 中午 收到 特地 试着 两天 评价 手机 全新 未激活 质量 京东 自营 放心 买卖 家 服务 满意 
15143,一部 后盖 缝隙 屏幕 缝隙 特别 大换 不错 京东 配送 员 五星 好评 
15144,东西 不错 贵 点 手机 
15145,第一次 苹果 系统 不太 苹果 系统 好用 评 
15146,很能 棒 喜欢 一款 打游戏 一点 不卡 真的 不错 6p 换过来 喜欢 
15147,手机 早上 十点 京东 打电话   京东 服务   物流 真的   京东 点赞 
15148,用户 未填写 评价 内容 
15149,手机 不好     三楼 信号   像素 不好   一点 慢   安卓 手机 好用   真 不值 
15150,机子 正品 机 外观 很漂亮 
15151,想换个 大屏 8p 真的 滴 选择 物流 超级 两天 手机 手里 手感 运行 速度 特别 快赞 
15152,速度 服务 价格 合适 值得 购买 
15153,小弟 喜欢 质量 苹果 电话 京东 买 第六个 iPhone4 京东 买 值得 信赖 
15154,物流 包装 完好 快递 服务 人员 工作 手机 速度 快刚 拿到 手 希望 体验 
15155,苹果 手机 质感 确实 性能 强大 玩 刺激 战场 流畅 画面 舒服 helliphellip 正儿八经 充电 太慢 重度 游戏 用户 中午 休息 吃 鸡 两 小时 下午 下班 吃 鸡 两三 小时 吃 完 晚饭 玩 十一点 诶 充电 速度 伤不起 三个 小时 还充 有时候 习惯 vivo 快充 速度 速度 揪心 有没有 充电 速度 方法 图 旧 vivo 充电 头 苹果 充电 头 大小 一看 明白 充电 速度 差距 helliphellip 
15156,理想   物流 速度   京东 值得 信赖 
15157,送货 速度 真快 弄 小时 手 
15158,快递 很快   手机 检查   
15159,用户 未填写 评价 内容 
15160,手机 收到 不错 行货 包装 简陋 点 
15161,包装 简易 害怕 运输 中 晃荡 厉害 全密封 性能 不错 
15162,不错 手机 流畅 实惠 
15163,速度 很快 手机 不错 外包装 磕碰 
15164,不错     正品       顺手 
15165,手感 不错 屏大 看着 舒服 
15166,京东 苹果 手机 买 苹果 这台 手机 苹果 系统 比较稳定 京东 发货 速度 整体 购物 体验 完美 
15167,买 外甥 喜欢 喜欢 颜色 满意 
15168,不错 验 机器 感觉 京东 东西 差 喜欢 
15169,宝贝 不错     颜色 机器 亮 原封未动 送货 很快 信赖 京东 
15170,
15171,
15172,很棒 性价比 不错 比官 网 便宜 好多 X XS 太贵 不划算 够用 5G 换 
15173,收到 货是 全新 习惯 一点 不卡 满意 苹果 手机 
15174,不错 正品 刚需 赶到 活动 买 送货 京东 速度 没得说 
15175,手机 重 黑色 好看 显得 运行 流畅 系统 喜欢 屏幕 色彩 满意 
15176,苹果 苹果   降价 买   狠 实惠 手机   4000 买   实惠 
15177,用户 未填写 评价 内容 
15178,物美价廉 第一次 京东 买 贵重 物品 
15179,一段时间 评价 王者 会卡顿 闪退 室友 买 送 转换器 买 送 转换器 不送 
15180,东西 不错 试试看 
15181,感觉 特别 价钱 送 卡下点 东西 小时 
15182,不错 序列号 查 安卓用 太卡 回来 苹果 
15183,挺 满意 棒棒 哒 
15184,第一次 苹果   感觉 不错   充电 耗电 半个 月 习惯   金色 外观 好看   系统 卡   信号 不太好   正品 没错   打开 速度 很快   满意 
15185,查 序列号 正品 京东 品质 买 第二台 苹果 
15186,物流 很快 晚上 下单 第二天 中午 包装 简陋 
15187,最早 3GS4s5s6shelliphellip7s 时 没换 新机 坐等 8s 换机 买 三星 note8 习惯 ios 真 用不惯 安卓 系统 helliphellip 一年 换回 苹果 手机 入手 8p 性价比 不错 4799 价格 京豆 抵充 一部分 款项 强烈推荐 喜欢 朋友 入手 A11 helliphellip 感谢 京东 感谢 商家 一贯 信赖 京东 送货上门 超赞 京东 快递 小哥 辛苦 
15188,送货 手机 
15189,质感 好用 舒服 运行 速度 分辨率 打游戏 太 流畅 
15190,京东 送货 速度 确实 赞 东西 棒用 开心 优惠 不错 
15191,京东 自营 价格比 苹果 官 网上 便宜 送货 速度 质量 保证 值得 信赖 赠品 手机 到手 贴膜 买壳 苹果 手机 质量 没得说的 好评 
15192,一句 话   正品 
15193,京东 东西 不错 感觉 8p 实惠 
15194,颜色 好看 声音 特别 像素 特别 追评 
15195,非常感谢 京东 商城 给予 优质 服务 仓储 管理 物流配送 做 送货 配送 员 热情 有时候 收件 安排 时间 配送 京东 商城 售后 管理 好以 解客 排除万难 给予 购物 体验 
15196,
15197,一个月 评价 apple 官网 查过 正品   8p 真心 不错 推荐 入手 
15198,很棒   东西 质量   快递 员 态度 
15199,很棒   东西 质量   快递 员 态度 
15200,帮 同事 买 暂时 发现 好评 先 
15201,用户 未填写 评价 内容 
15202,
15203,不错 物流 服务 支持 京东 手机 
15204,字爽 振动 反馈 真的 谁家 建议 8pxr 
15205,京东 买 第三部 爱 疯 信赖 京东 电子产品 买成 钻石 会员 
15206,稳没过 两天 评论 感受 
15207,用户 未填写 评价 内容 
15208,不错   京东 自营 
15209,用户 未填写 评价 内容 
15210,一个月     感觉   正品     系统 升级     电池 想象 耐用     中度 一充 
15211,
15212,老婆 买 手机 不错 喜欢 物流 力赞 
15213,手机 收到 包装 完好无损 2019 年产 本体 完美 本来 双十 一想 买 买买 华为 降价 500 买个 8p 
15214,收到 货         苹果 手机 真的         性价比 高       推荐 购买 
15215,京东 物流 很快 收到 好用 拍照 清晰 运行 流畅 
15216,当天 买 第二天 速度 很快 价格 实惠 真 
15217,信赖 京东 真的 序列号 查询 美滋滋 
15218,下边 缝隙 还好 颜色 耐看 
15219,"赞美 快递 小哥 用心 
 手机 不错 希望 多用 几年 "
15220,物品     很棒     第一次 iPhone 
15221,京东 快递 小哥 速度 杠杠 滴 送到 手里 不错 包装 完整 剩 验 真伪 
15222,不错 iphone 比安卓好 
15223,机器 不错   查询 正品   价格 实惠   物流 速度   越来越 喜欢 京东 购物 
15224,发现 掉 漆 换 买手机 实体店 网上 小心 第一次 网上 买手机 体验 极差 
15225,挺 一阵 评论 正品 查 保修 时间   电池 耐用 
15226,收到 产品 质量 满意 物超所值 物美价廉 客服 态度 有问必答 赞 发货 速度 包装 仔细 严实 快递 员 服务态度 满意 购物 真的 打开 包装 惊艳 高大 实体店 便宜 过程 满意 无论是 服务 产品 分会 推荐 朋友 希望 推出 优惠 满意 购物 光顾 期待 折扣 
15227,收到 产品 质量 满意 物超所值 物美价廉 客服 态度 有问必答 赞 发货 速度 包装 仔细 严实 快递 员 服务态度 满意 购物 真的 打开 包装 惊艳 高大 实体店 便宜 过程 满意 无论是 服务 产品 分会 推荐 朋友 希望 推出 优惠 满意 购物 光顾 期待 折扣 
15228,手机店 19 年 最新 生产 国行 开机 手感 64g 一阵 不错 
15229,性价比 高 流畅 物流 很快 发现 瑕疵 
15230,
15231,用户 未填写 评价 内容 
15232,一段时间 感觉 不错 
15233,手机 发货 速度 满意 
15234,用户 未填写 评价 内容 
15235,买 电子产品 选 京东 快递 售后 
15236,发现         流畅       可惜 贴膜       贴       物流 很快       半天 
15237,8p   搭载 ios11 性价比   支持 
15238,
15239,
15240,不错   正品   物流 下午 买     晚上     满意 
15241,评论 放心 犹豫 买 金色 黑色 客服 打电话 说 银色 一台 狠心 买 到手 检查 检查 官网 查 保修 很正 开机 用到 没死 机玩 穿越 火线 没卡过 7p 漂亮 银色 很漂亮 
15242,说 图 漏光 同事 发现 
15243,用户 未填写 评价 内容 
15244,外观 好看 速度 很快 值得 购买 
15245,手机 挺好用 8P 好用 
15246,机器 速度 质量 太沉 47 寸用 舒服 感觉 几年 g 降价 换 
15247,挺 特地 几天 评价   莫名 担心 快递 平时 慢 难受   辛苦 hellip 
15248,手机 不错 查着 正品 手感 不错 想 入手 款 终于 如愿以尝 适合 不用 过分 追求 新品 
15249,用到 手机 棒 内存 大老婆 喜欢 京东 买买 买 
15250,收到 星期 评论 收到 拆开 原装 激活 ID 习惯 苹果 手机 手机 感觉 打字 
15251,不错 体验 
15252,第二次 京东 买手机 包装 简陋 手机 京东 值得 信赖 
15253,京东 失望 
15254,真机 国行 满意 
15255,两个 月 前 拍 魅族 15plus 前 几天 摔 屏 挂 换 屏 920 没舍得 8p4799 价格 狠心 拍 关注 128G 版 7p 官 换机 3400 京东 5499 8p 官换 4000 京东 行货 4799 8p 行货 划算 收到 日期 新 月份 出厂 音质 拍照 很棒 一点 不卡顿 屏幕 右上角 左下角 暗 仔细 急用 手机 懒得 折腾 退换 京东 物 流贼 次日 达 15plus 屏幕 看不见 前 到货 手机 数据 成功 迁移 很棒 购物 体验 
15256,正品 质量 不错 喜欢 
15257,用户 未填写 评价 内容 
15258,京东 购物 价格 实惠 值得 信赖 
15259,京东 买手机 优惠 放心 京东 快递 赞 
15260,收到 货 迫不及待 体验 一把 人生 第一个 iPhone 感觉 体验 爽 歪 一分 价钱 一分货 期待 苹果 产品 越来越 购买 欲望 科技 国界 热爱 苹果 希望 国产手机 越来越 厉害 
15261,昨天晚上 中午 手机 毛病 挺 
15262,刚买 购物 预期 体验 玩游戏 几天 追评 
15263,流畅 系统 稳定 建议 入手 
15264,差评 第一次 京东 买 不好 购物 体验 拿到 碰痕 
15265,京东 到货 很快 感谢 快递 哥哥 送来 一点 不好 乡镇 送货到 家要 去取 
15266,京东 到货 很快 感谢 快递 哥哥 送来 一点 不好 乡镇 送货到 家要 去取 
15267,京东 到货 很快 感谢 快递 哥哥 送来 一点 不好 乡镇 送货到 家要 去取 
15268,流畅 物流 苹果 好用 
15269,不错 体验 电池 耐用 
15270,孩子 换 内存 这回 够用 机子 
15271,手机 拿到 手 速度 没得说 昨天晚上 下单 今天下午 收到 打开 新手机 月 吃 咸菜 手机 只能 整体 不错 劝 买 华为 选择 苹果 习惯 京东 点个 赞 
15272,五星 好评 反应速度 真的 比安卓快 挺 喜欢 8p 
15273,怀着 稍微 忐忑 心情 买 正用 评论 感觉 不错 包装 想象 中 豪华 喜欢 拿到 挺 开心 
15274,习惯性 好评 苹果 一款 指纹识别 手机 
15275,
15276,机器 手机 壳 发现 摄像头 位置 裂痕 售后 说 激活 退换 购买 亲们 到货 后要 仔细 验货 先 着急 激活 
15277,情人节 送 女朋友 分手 感觉 还好 
15278,挺   不错   苹果 手机 
15279,手机 系统 流畅 外观 很漂亮 
15280,手机 屏幕 手 玩不转 外观 挺 好看 挺 
15281,"苹果 一如既往 很差 
 流畅性 
 包装 太 简陋 "
15282,    电子产品 京东 买 放心 
15283,长时间 选择 京东 购买 信赖 京东 购物 收到 确实 很棒 包装 手机 好用 
15284,感觉 还好 买 第二天 卡 只能 关机 才动 
15285,太 国行 正品 京东 实体店 单到 后查 国行 正品 京东 真心 不错 
15286,物流 很快 收到 货看 外观   屏幕显示 感觉 激活 感觉 耗电 
15287,不错 快递 准时 查 真的 京东 自营 值得 信赖 
15288,京东 旗舰店 品质 毋庸置疑 实体店 购买 新机 网上 购买 第一次 网上 选购 苹果 手机 朋友 推荐 想到 网上 购买 第二天 到货 省去 麻烦 评测 国航 正品 机 无疑 无需 担心 买到 官 换机 手机 一点 放心 第二天 拿到 手机 方便快捷 物流 速度 很快 客服 服务态度 耐心 讲解 愉快 购物 挺 
15289,二次 购买 质量 杠杠 流畅 
15290,还好 查不到 激活 日期 问 客服 说 官网 延迟 两天 整体 
15291,不错 不错 
15292,送货 头天 晚上 订单 第二天 上午 收到 手机 图片 描述 新机 未注册 满意 
15293,不错 晚上 下单 中午 收到 查 原装 正品 评论 说 京东 自营 
15294,帮 朋友 买 帮 朋友 买个 苹果 x 打算 买个 希望 用个 45 年 
15295,银色 好看 系统 流畅 想 买 小米 现货 
15296,感挺 没什么 包装 快递 显示 效果 清晰 价格 挺 
15297,好用 新一代 机 购买 划算 苹果 几代 机了 换成 大屏 感觉 真的 
15298,挺 东西 特别 好配 特别 好看 手机 壳 完美 喜欢 粉粉 仙儿 颜色 选择 手机 太美 长辈 入手 金色 黑色 愉快 购物 经历 买 手机 屏幕 亮点 幸好 激活 换货 
15299,手机 全新 送货 速度 很快 速度 超越 
15300,买手 说 虚 helliphellip 开箱 仔细 发现 花屏 划痕 电器 京东 话 说 买 苹果 产品 iPhone 好像 确实 京东 特供 
15301,花 三十块 坐车去 物流配送 太慢 还好 快递 小哥 服务态度 
15302,手机 真心 不错 昨天晚上 京东 物流 字快 
15303,手机 收到 不错 质量 没什么 值得 一买 值得 拥有 
15304,妹妹 买 下单 第二天 担心 手机 没什么 实体店 便宜 1000 
15305,  真品       玩起来 流畅 
15306,第一次 苹果 不错 感觉 好评 好评 
15307,手机 不错 家人 买 送货 速度 货品 质量 
15308,评论 好多 人买 翻新 机抱 碰运气 买 忐忑不安 还好 京东 自营 店 
15309,用户 未填写 评价 内容 
15310,一个月 手机 真的 一点 毛病 全新 京东 买手机 放心 纠结 久 网上 买 选择 京东 送货 京东 苹果 手机 便宜 是因为 卖 批发价 赚 流量 放心 
15311,用户 未填写 评价 内容 
15312,用户 未填写 评价 内容 
15313,不错 Xs   max   8p 纠结 选 一款 Plus 经典 款 iPhone   XS   Max 屏 屏 时代 说怕 买 8Plus 淘汰 到手 8plus 够用 不错 性价比 便宜   Max 送 女朋友 一款 更好 希望 款 手机 几年 
15314,耳机 客服 态度 太扯 
15315,说 苹果 苹果 好用 媳妇 买 媳妇 特别 喜欢 放心 购买 行货 正品 
15316,有没有 情况 解开 锁 样子   留个 言 
15317,用户 未填写 评价 内容 
15318,用户 未填写 评价 内容 
15319,用户 未填写 评价 内容 
15320,手机 收到 孩子 买 看着 外观 挺 希望 正品 
15321,不错 机子 
15322,用户 未填写 评价 内容 
15323,用户 未填写 评价 内容 
15324,手机 到手   验证   官方   未激活   总体   苹果 手机 老毛病   电池 耐用 
15325,用户 未填写 评价 内容 
15326,苹果 手机 老听 说 好多 换 8p 体验 感 真的 很差 平时 手机 文件 每次 下载 找 不到 系统 封闭 编辑 手机 音乐 同步 视频剪辑 软件 电脑 登录 iTunes 操作 麻烦 死 电话 铃声 改 闹钟 关机 不响 害得 差点 迟到 电话 通话 同步 录音 操作系统 运行 只能 适合 平时 打电话 摄影 视频剪辑 文件 办公 真不知道 吹 智能 产品 本来 社会 变化 速度 提高 工作效率 
15327,买 几天 评价 手机 外观 瑕疵 卡槽 上方 一点点 掉 漆 一点 磕痕 太小 懒 换 手机 挺不错 流畅 有时候 感觉 手机 屏幕 好像 灵敏 太轻 打游戏 行 吃 鸡 高画质 玩 一把 要费 20 电 降低 画质 一把 10 电 剩下 没什么 祝 购机 愉快 
15328,用户 未填写 评价 内容 
15329,弄 好久 蒙 逼 状态 
15330,用户 未填写 评价 内容 
15331,京东 垃圾 发誓 这辈子 京东 买 东西 买 这台 手机 月 4799 元 买 手机 两个 月 坏 试问 垃圾 质量 找 买 这家 店 各服 找 不到 找 京东 客服 说 退货 期 说 退货 只好 申请 维修 给我发 垃圾 信息 找到 网点 维修 找 不到 平台 购物 多年 没试 差 购物 体验 真的 太 希望 京东 
15332,感觉 奶奶 
15333,用户 未填写 评价 内容 
15334,确实 不错 买 两周 评论 国行 挺好用 
15335,不想 外面 
15336,用户 未 填写 评价 内容 系统 默认 评价 
15337,用户 未填写 评价 内容 
15338,
15339,信号 不好 苹果 手机 地方 显示 4G 网络 可用 25 号 入手 这台 8P 显示 4G 网络 网络 图片 发布 打开 操作 上查 人买 8P 估计 这款 机子 毛病 苹果 担心 走 没网 疯 掉 试 网上 评论 说 先 手机 开 飞行 模式 秒 4G 试 担心 后续 疯 掉 肯定 8P 这款 手机 毛病 真想 退货 无奈 东西 装好 
15340,用户 未填写 评价 内容 
15341,昨天 刚到 发热 手机 聊 发热 完后 送 检测 
15342,用户 未填写 评价 内容 
15343,用户 未填写 评价 内容 
15344,不错 好看 
15345,
15346,物流 很快 收到 货看 外观   屏幕显示 感觉 激活 感觉 耗电 
15347,很棒 全新 机国行 2019 年 生产 京东 品质 
15348,边边角角 刮痕 不像 新 东西 垃圾 
15349,用户 未填写 评价 内容 
15350,差评 手机 一点 不好 手机 质量 手机 刚买 质量 屏幕 模糊 卡顿 商家 服务 不好 解决问题 朋友 买 特别 差 买 买 买 
15351,预想 中 之下 性价比 不高 名不副实 
15352,花 三十块 坐车去 物流配送 太慢 还好 快递 小哥 服务态度 
15353,用户 未填写 评价 内容 
15354,用户 未填写 评价 内容 
15355,手机 官方 正品 原装机 京东 物流 太 鸡肋 选择 京准 达 送货 时间 说 一声 致电 京东 客服 第二天 上午 送到 下午 送到 下午 选择 京准 达 上午 送货 想 必经 5000 元 东西 势必 验 货 成想 京东 做 不到 第一次 京准 达 做 不到 第二次 客服 沟通 ldquo 第二天 上午 送货 rdquo 下午 送货 京准 达 太 垃圾 
15356,手机 物流 很快 京东 物流 
15357,用户 未填写 评价 内容 
15358,不错 不错 真 
15359,用户 未填写 评价 内容 
15360,手机 满意 几天 像素 音质 用行 速度 很快 
15361,指纹 解锁 两 毫米 刮痕 生日礼物 懒得 退回去 包装 垃圾 明明 袋子 装进去 玩 刺激 战场 帧 率 6S 稳定 反正 2019 年 生产 序号 看过 激活 退换货 
15362,用户 未 填写 评价 内容 系统 默认 评价 
15363,
15364,东西 收到 第二次 买 赞 
15365,用户 未 填写 评价 内容 系统 默认 评价 
15366,买手机 发现 屏幕 白点   黑屏 发给 客服 说 看不到   说 换货 说 20 多天   换个 货 这么久 有没有 拆掉 零件   说 防尘 防水   妈 第一天 手机 前置 摄像头 进灰   够 坑   手机 盒子 四个 角 两个 角 凹 明明 摔 
15367,体验 极差     差评     投诉 
15368,手机 到手 激活 效果 不错 19 年 生产 正品 
15369,便宜 强大 儿子 喜欢 吃 鸡 特效 全开 压力 
15370,用户 未填写 评价 内容 
15371,买 合适 价格 优惠 本来 想 三月份 苹果 发 新品 降价 孩子 开学 手机 先买 停产 不好办 
15372,行 挺 满意 8p 外挂 说 超 好看 
15373,
15374,说 说 包装 满意 太 简陋 贵 东西 好好 包装 防撞 袋到 我家 爆 手机 盒子 损伤 还好 手机 没事 说 说 手机 缝隙 里 灰 怎么回事 机子 追加 
15375,
15376,
15377,手里 发现 京东 封 箱 正品 两天 挺不错 小毛病 接受 习惯 好评 
15378,满意 机子 商家 
15379,用户 未填写 评价 内容 
15380,用户 未 填写 评价 内容 系统 默认 评价 
15381,说实话 京东 快递 发错 站点 卡 手机 醉 苹果 系统 我用 小米 开 3g 垃   圾 
15382,很棒 手机 速度 很快 送货 京东 给力 完美 机器 
15383,查 正品 全新 通话 听筒 杂音 声音 很小 
15384,卡 第一次 
15385,
15386,用户 未填写 评价 内容 
15387,用户 未填写 评价 内容 
15388,
15389,京东 服务 一如既往 手机 不错 价格 实惠 
15390,手感     买 贵重 东西 京东 自营 店买   放心 
15391,用户 未填写 评价 内容 
15392,打开 包装 发现 背面 保护膜 指纹 开过 
15393,老婆 买 礼物 去年 产品 不错 价格 降 太快 
